"name";"short_name";"address";"signature";"status";"type";"electoral_plenipotentiary";"financial_plenipotentiary";"range";"teryt"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA DURANA";"KWW ŁUKASZA DURANA";"ul. Bukowina 40/2, 43-180, Orzesze";"DKT-7503-272/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Łukasz Paweł Duran";"Łukasz Paweł Duran";"m. Orzesze";"240803"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA DUSZCZAKA";"KWW ŁUKASZA DUSZCZAKA";"Prusinowo 24, 62-035, Kórnik";"DPZ-7503-I-83/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Aneta Teresa Kaczmarek";"Aneta Teresa Kaczmarek";"gm. Kórnik";"302109"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA GROCHOWSKIEGO";"KWW ŁUKASZA GROCHOWSKIEGO";"ul. Środkowa 4, 05-080 Izabelin";"DWW-75031-42/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Przemysław Adam Popławski";"Przemysław Adam Popławski";"gm. Izabelin";"143202"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA JARAWKA";"KWW ŁUKASZA JARAWKA";"ul. G. Zapolskiej 5, 41-400, Mysłowice";"DKT-7503-238/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Marek Czyżycki";"Piotr Jan Walinowicz";"woj. śląskie";""
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA JEDYNAKA";"KWW ŁUKASZA JEDYNAKA";"ul. Andromedy 21/8, 67-200 Głogów";"DLG-7503-164/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Magdalena Komorowska";"Halina Jedynak";"woj. dolnośląskie";""
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA KAMER";"KWW ŁUKASZA KAMER";"ZMYŚLONA 44, 98-354 SIEMKOWICE";"DSR-7503-147/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"ŁUKASZ KAMER";"ŁUKASZ KAMER";"gm. Siemkowice";"100906"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA KŁĘBKA";"KWW ŁUKASZA KŁĘBKA";"Rzeplin 71A, 22-678 Ulhówek";"DZM-7503-172/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Augustyn Litwin";"Augustyn Litwin";"gm. Ulhówek";"061813"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA KŁOBUCHOWSKIEGO";"KWW ŁUKASZA KŁOBUCHOWSKIEGO";"Bolesławów 1, 09-500 Gostynin";"DPŁ.7503-59/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Arkadiusz Szyszka";"Arkadiusz Szyszka";"gm. Gostynin";"140402"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA KOŁWZANA";"KWW ŁUKASZA KOŁWZANA";"ul. Podgórna 107, 66-530, Drezdenko";"DGW-7503-139/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Łukasz Kołwzan";"Łukasz Kołwzan";"gm. Drezdenko";"080602"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA MARCJANIKA";"KWW ŁUKASZA MARCJANIKA";"ul. Mazowiecka 55, 97-216, Czerniewice";"DPT-7503-108/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Aneta Stanisława Marcjanik";"Aneta Stanisława Marcjanik";"gm. Czerniewice";"101604"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA MATOSKA";"KWW ŁUKASZA MATOSKA";"Stodzew 58, 08-441 Parysów";"DSD.7503-30/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Michał Matosek";"Michał Matosek";"gm. Parysów";"140309"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA MIĘKUSA";"KWW ŁUKASZA MIĘKUSA";"ul. Kolejowa 7/1a, 78-220 Tychowo";"DKS-7503-241/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Katarzyna Miękus";"Katarzyna Miękus";"gm. Tychowo";"320104"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA NOWOKA";"KWW ŁUKASZA NOWOKA";"ul. Dębowa 13A, 43-230, Goczałkowice-Zdrój";"DBB-7503-195/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Aneta Maria Pietyra-Nowok";"Aneta Maria Pietyra-Nowok";"gm. Goczałkowice-Zdrój";"241001"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA OLSZEWSKIEGO";"KWW ŁUKASZA OLSZEWSKIEGO";"Kąty Węgierskie, ul. Przyleśna 11, 05-126 Nieporęt";"DWW-75031-9/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Łukasz Jacek Olszewski";"Łukasz Jacek Olszewski";"gm. Nieporęt";"140803"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA ORFIN";"KWW ŁUKASZ ORFIN";"ul. Leśna 18, 55-040 Tyniec nad Ślężą";"DWR-7503-121/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Piotr Marcin Winiarski";"Piotr Marcin Winiarski";"gm. Kobierzyce";"022305"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA OTERSKIEGO";"KWW ŁUKASZA OTERSKIEGO";"ul.Konarskiego 28a/28, 99-120, Piątek";"DSK-7503-38/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Lech Kazimierz Oterski";"Lech Kazimierz Oterski";"gm. Piątek";"100406"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA PALISIA";"KWW ŁUKASZA PALISIA";"Dąbrowa Szlachecka 131, 32-070 Czernichów";"DKR-7503-326/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Paweł Lucjan Przebinda";"Paweł Lucjan Przebinda";"gm. Czernichów";"120601"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA PIOTROWSKIEGO";"KWW ŁP";"ul. Łąkowa 13, 62-060, Stęszew";"DPZ-7503-I-169/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Anita Blanka Kaczmarek";"Anita Blanka Kaczmarek";"gm. Stęszew";"302114"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA PYTEL";"KWW ŁUKASZA PYTEL";"Stare Żukowice 108, 33-151 Nowa Jastrząbka";"DTA-7503-73/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Stanisława Pytel";"Stanisława Pytel";"gm. Lisia Góra";"121603"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA RYKACZEWSKIEGO";"KWW ŁR";"Niesłuchy 18, 06-430 Sońsk";"DCI-7503-52/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Łukasz Rykaczewski";"Łukasz Rykaczewski";"gm. Sońsk";"140209"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA SIERAŃSKIEGO";"KWW ŁUKASZA SIERAŃSKIEGO";"ul. P. Skargi 14, 62-060, Stęszew";"DPZ-7503-I-77/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Weronika Piosik";"Weronika Piosik";"gm. Stęszew";"302114"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA WÓJCIKA";"KWW ŁUKASZA WÓJCIKA";"ul. Nowa 29, 95-054 Ksawerów";"DŁD-7503-42/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Agnieszka Dorota Szymańska";"Agnieszka Dorota Szymańska";"gm. Ksawerów";"100805"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA ZAŁĘCKIEGO";"KWW ŁZ";"Parcele Łomskie 7a, 06-500 Mława";"DCI-7503-9/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Łukasz Załęcki";"Łukasz Załęcki";"gm. Lipowiec Kościelny";"141303"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA ŻUBERKA";"KWW Ł. ŻUBERKA";"UL. WIDAWSKA 37, 98-354 SIEMKOWICE";"DSR-7503-34/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"ŁUKASZ JAKUB ŻUBEREK";"ŁUKASZ JAKUB ŻUBEREK";"gm. Siemkowice";"100906"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZA  ZIARKOWSKIEGO";"KWW ŁUKASZA ZIARKOWSKIEGO";"58-533 Mysłakowice, ul. Polna 19";"DJG-7503-123/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Jolanta Teresa Ziarkowska";"Jolanta Teresa Ziarkowska";"gm. Mysłakowice";"020607"
"KOMITET WYBORCZY WYBORCÓW ŁUKASZ SCHÖNFELDER";"KWW ŁUKASZ SCHÖNFELDER";"ul. Wojska Polskiego 27/6, 56-500 Syców";"DWR-7503-206/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Łukasz Przemysław Schönfelder";"Łukasz Przemysław Schönfelder";"gm. Syców";"021407"
"KOMITET WYBORCZY WYBORCÓW ŁUKOWSKA WSPÓLNOTA SAMORZĄDOWA";"KWW ŁUKOWSKA WSPÓLNOTA SAMORZĄDOWA";"Os.Chącińskiego 13/44, 21-400, Łuków";"DBP-7503-51/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Benedykt Wojtaś";"Dariusz Kachniarz";"woj. lubelskie";""
"KOMITET WYBORCZY WYBORCÓW ""ŁUKTA 2010""";"KWW ""ŁUKTA 2010""";"SŁONECZNA 6C/13 14-105 ŁUKTA";"DEL-7503-272/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"MAGDALENA MARIANNA KLUKOWSKA";"MAGDALENA MARIANNA KLUKOWSKA";"gm. Łukta";"281504"
"KOMITET WYBORCZY WYBORCÓW ŁUKTA 2010-2014";"KWW ŁUKTA 2010-2014";"TOPOLOWA 18, 14-105 ŁUKTA";"DEL-7503-210/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"MONIKA PATRYCJA MALINOWSKA";"MONIKA PATRYCJA MALINOWSKA";"gm. Łukta";"281504"
"KOMITET WYBORCZY WYBORCÓW ""ŁUKTA Z KLASĄ""";"KWW ""ŁUKTA Z KLASĄ""";"SŁONECZNA 10A/6, 14-105 ŁUKTA";"DEL-7503-183/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"MATEUSZ PIOTRAK";"MATEUSZ PIOTRAK";"gm. Łukta";"281504"
"KOMITET WYBORCZY WYBORCÓW ŁUSZCZEWO RAZEM";"KWW ŁUSZCZEWO RAZEM";"Łuszczewo 90, 62-560 Skulsk";"DKN-7503-125/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Eugeniusz Małecki";"Eugeniusz Małecki";"gm. Skulsk";"301009"
"KOMITET WYBORCZY WYBORCÓW MACHA";"KWW MACHA";"Klasztorna 3,47-420, Kuźnia Raciborska";"DKT-7503-28/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Paweł Piotr Macha";"Paweł Piotr Macha";"gm. Kuźnia Raciborska";"241105"
"KOMITET WYBORCZY WYBORCÓW MACHCINO";"KWW MACHCINO";"Machcino 39, 09-411 Biała";"DPŁ.7503-54/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Bożena Czesława Korzeniewska";"Bożena Czesława Korzeniewska";"gm. Bielsk";"141901"
"KOMITET WYBORCZY WYBORCÓW MACHOWIAK";"KWW MACHOWIAK";"ul. Warszawska 33/2, 62-400 Słupca";"DKN-7503-170/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Piotr Jerzy Mioducki";"Piotr Jerzy Mioducki";"m. Słupca";"302301"
"KOMITET WYBORCZY WYBORCÓW MACIEJA BERLICKIEGO";"KWW MACIEJA BERLICKIEGO";"Spółdzielcza 27, 76-004 Sianów";"DKS-7503-38/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Magdalena Grzywacz";"Magdalena Grzywacz";"gm. Sianów";"320907"
"KOMITET WYBORCZY WYBORCÓW MACIEJA JACKA SZEREMETA NA RADNEGO";"KWW MACIEJA JACKA SZEREMETA";"ul. 3-go Maja 34/11, 37-700 Przemyśl";"DPR-7503-132/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Mirosław Bogdan Kowalik";"Bogusława Sadowska";"woj. podkarpackie";""
"KOMITET WYBORCZY WYBORCÓW MACIEJA KACZYŃSKIEGO-SKUTECZNIE DLA GMINY";"KWW M. KACZYŃSKIEGO-SKUTECZNIE DLA GMINY";"ul. Brzozowa 40, 42-450 Łazy";"DCZ-7503-168/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Aneta Barbara Kaczyńska";"Aneta Barbara Kaczyńska";"gm. Łazy";"241605"
"KOMITET WYBORCZY WYBORCÓW MACIEJA KOBYLIŃSKIEGO";"KWW MACIEJA KOBYLIŃSKIEGO";"ul. Nowowiejska 2/7, 76-200 Słupsk";"DSL-7503-54/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Marcin Kazimierz Kobyliński";"Elżbieta Modrzewska";"woj. pomorskie";""
"KOMITET WYBORCZY WYBORCÓW MACIEJA LESZCZYŃSKIEGO";"KWW MACIEJA LESZCZYŃSKIEGO";"ul. Kopernika 21, 11-320, Jeziorany";"DOL-7503-196/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Marian Łapiński";"Marian Łapiński";"gm. Jeziorany";"281406"
"KOMITET WYBORCZY WYBORCÓW MACIEJA MACKO";"KWW MACIEJA MACKO";"ul. Herbsta 1/58, 76-200 Słupsk";"DSL-7503-163/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Szpiter-Jaskółka Izabela";"Maciej Ryszard Macko";"woj. pomorskie";""
"KOMITET WYBORCZY WYBORCÓW MACIEJA MARNICKIEGO";"KWW MACIEJA MARNICKIEGO";"Tomaszów Bolesławiecki 103A, 59-720 Warta Bolesławiecka";"DJG-7503-24/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Czesław Marnicki";"Czesław Marnicki";"gm. Warta Bolesławiecka";"020106"
"KOMITET WYBORCZY WYBORCÓW MACIEJA MOŃKI";"KWW MACIEJA MOŃKI";"Stara Sucha 3 A, 96-513 Nowa Sucha";"DPŁ.7503-20/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Mariusz Robert Mikulski";"Mariusz Robert Mikulski";"gm. Nowa Sucha";"142805"
"KOMITET WYBORCZY WYBORCÓW MACIEJA MYCZKI";"KWW  MACIEJA MYCZKI";"Pomianowo 38, 78-200, Białogard";"DKS-7503-134/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Mariusz Romuald Sarnacki";"Mariusz Romuald Sarnacki";"gm. Białogard";"320102"
"KOMITET WYBORCZY WYBORCÓW MACIEJA NOWICKIEGO";"KWW MACIEJA NOWICKIEGO";"ul. Nowowiejska 11, 42-450 Niegowonice";"DCZ-7503-169/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Bartosz Maciej Nowicki";"Bartosz Maciej Nowicki";"gm. Łazy";"241605"
"KOMITET WYBORCZY WYBORCÓW MACIEJA OLSZEWSKIEGO";"KWW MACIEJA OLSZEWSKIEGO";"Trakt 8a, 87-140 Chełmża";"DTR-7503-197/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Barbara Różańska-Kiziuk";"Barbara Różańska-Kiziuk";"m. Chełmża";"041501"
"KOMITET WYBORCZY WYBORCÓW MACIEJA OSTROWSKIEGO";"KWW MACIEJA OSTROWSKIEGO";"ul. Kazimierza Wielkiego 48, 32-400 Myślenice";"DKR-7503-10/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Mateusz Jan Miska";"Sylwia Elżbieta Piegza";"woj. małopolskie";""
"KOMITET WYBORCZY WYBORCÓW MACIEJA PAŁYSZKO";"KWW MACIEJA PAŁYSZKO";"ul. Puławska 52/69, 02-559 Warszawa";"DWW-7503-78/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Maciej Zbigniew Pałyszko";"Joanna Pałyszko";"woj. mazowieckie";""
"KOMITET WYBORCZY WYBORCÓW MACIEJA PIETRUSZAKA";"KWW MACIEJA PIETRUSZAKA";"Niegosław 97, 66-530, Drezdenko";"DGW-7503-124/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Marek Edmund Roszak";"Marek Edmund Roszak";"gm. Drezdenko";"080602"
"KOMITET WYBORCZY WYBORCÓW MACIEJA RADTKE";"KWW MACIEJA RADTKE";"WYZWOLENIA 2F 14-260 LUBAWA";"DEL-7503-26/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"DOROTA KOŁODZIEJSKA";"DOROTA KOŁODZIEJSKA";"m. Lubawa";"280702"
"KOMITET WYBORCZY WYBORCÓW MACIEJA SUWIŃSKIEGO";"KWW MACIEJA SUWIŃSKIEGO";"ul. Sosnowa 16, 05-190 Nasielsk";"DWW-75031-34/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Daniel Andrzej Roszkowski";"Daniel Andrzej Roszkowski";"gm. Nasielsk";"141404"
"KOMITET WYBORCZY WYBORCÓW MACIEJA SZCZYGIEŁ";"KWW MACIEJA SZCZYGIEŁ";"ul. Łąkowa 4, 84-239, Bolszewo, gm. Wejherowo";"DGD-75031-52/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Bartosz Szczygieł";"Bartosz Szczygieł";"gm. Wejherowo";"221510"
"KOMITET WYBORCZY WYBORCÓW MACIEJA SZLICHTINGA";"KWW MACIEJA SZLICHTINGA";"Margońska Wieś 14,  64-830 Margonin";"DPI-7503-II-210/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Piotr Szlichting";"Piotr Szlichting";"gm. Margonin";"300104"
"KOMITET WYBORCZY WYBORCÓW MACIEJA URBANEK";"KWW MACIEJA URBANEK";"ul. Gdańska 8, 83-031, Różyny, gm. Pszczółki";"DGD-75031-111/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Bartosz Chapońkowski";"Bartosz Chapońkowski";"gm. Pszczółki";"220406"
"KOMITET WYBORCZY WYBORCÓW MACIEJ KLÓSAK - NOWY OSTRÓW";"KWW MACIEJ KLÓSAK - NOWY OSTRÓW";"ul. Wrocławska 22, 63-400 Ostrów Wielkopolski";"DKL-7503-83/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Jolanta Maria Doktór";"Izabela Anna Kaźmierczak";"woj. wielkopolskie";""
"KOMITET WYBORCZY WYBORCÓW MACIEJ RYBCZYK";"KWW MR";"ul. Harta 11A, 38-340 Biecz";"DNS-7503-213/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Jan Łukasz Wójtowicz";"Jan Łukasz Wójtowicz";"gm. Biecz";"120502"
"KOMITET WYBORCZY WYBORCÓW ""MADEJ""";"KWW ""MADEJ""";"Staromieście 5, 42-235 Staromieście";"DCZ-7503-190/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Lucyna Bernardyna Madej";"Lucyna Bernardyna Madej";"gm. Lelów";"240409"
"KOMITET WYBORCZY WYBORCÓW MAGDALENA BRODOWSKA GMINA SOBÓTKA NASZ DOM";"KWW MAGDALENA BRODOWSKA";"ul. Świdnicka 1A, 55-050 Sulistrowiczki";"DWR-7503-280/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Katarzyna Anna Arasiewicz";"Katarzyna Anna Arasiewicz";"gm. Sobótka";"022307"
"KOMITET WYBORCZY WYBORCÓW MAGDALENY CZAJA";"KWW MAGDALENY CZAJA";"ul. Nowy świat 73, 16-030 Supraśl";"DBL-7503-11/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Piotr Wojtkowski";"Piotr Wojtkowski";"gm. Supraśl";"200209"
"KOMITET WYBORCZY WYBORCÓW MAGDALENY FRĄCKOWIAK";"KWW MAGDALENY FRĄCKOWIAK";"ul. Tulipanowa 10a, 62-510 Konin";"DKN-7503-232/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Bogumiła Kazimiera Wajnert- Andrzejewska";"Grzegorz Frąckowiak";"woj. wielkopolskie";""
"KOMITET WYBORCZY WYBORCÓW MAGDALENY GRYKO";"KWW MAGDALENY GRYKO";"ul. Sikorskiego 18/7, 77-230 Kępice";"DSL-7503-169/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Stanisław Jan Śliwka";"Stanisław Jan Śliwka";"gm. Kępice";"221205"
"KOMITET WYBORCZY WYBORCÓW MAGDALENY KOLASIŃSKIEJ";"KWW MAGDALENY KOLASIŃSKIEJ";"ul. Akademicka 20A m. 6, 95-063 Rogów";"DŁD-7503-63/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Janina Dałkowska";"Janina Dałkowska";"gm. Rogów";"102105"
"KOMITET WYBORCZY WYBORCÓW MAGDALENY KRAJEWSKIEJ";"KWW MAGDALENY KRAJEWSKIEJ";"Buszkowiczki 94, 37-710 Żurawica";"DPR-7503-169/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Henryk Roman Krajewski";"Henryk Roman Krajewski";"gm. Żurawica";"181310"
"KOMITET WYBORCZY WYBORCÓW MAGDALENY MROCZKOWSKIEJ";"KWW MAGDALENY MROCZKOWSKIEJ";"ul. Wojciecha 22, 62-720 Brudzew";"DKN-7503-87/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Maria Jolanta Ciemniewska";"Maria Jolanta Ciemniewska";"gm. Brudzew";"302702"
"KOMITET WYBORCZY WYBORCÓW MAGDALENY PIOSIK ""RAZEM I BEZPIECZNIE""";"KWW MAGDALENY PIOSIK ""RIP""";"ul. Jesionowa 5, 62-001, Golęczewo";"DPZ-7503-I-84/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Ireneusz Piosik";"Ireneusz Piosik";"gm. Suchy Las";"302115"
"KOMITET WYBORCZY WYBORCÓW MAGDALENY ROSA";"KWW MAGDALENY ROSA";"Partyzantów 55, 21-450, Stoczek Łukowski";"DBP-7503-93/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Jadwiga Anna Rosa";"Jadwiga Anna Rosa";"m. Stoczek Łukowski";"061102"
"KOMITET WYBORCZY WYBORCÓW MAGDY";"KWW MAGDY";"Brzeźno 8/2, 69-200, Sulęcin";"DGW-7503-9/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Agata Górzyńska";"Agata Górzyńska";"gm. Sulęcin";"080704"
"KOMITET WYBORCZY WYBORCÓW MAJKOWSKIEGO";"KWW HENRYKA MAJKOWSKIEGO";"ul. Gościeradzka 44b, 83-423, Wielki Klincz, gm. Kościerzyna";"DGD-75031-4/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Barbara Majkowska";"Barbara Majkowska";"gm. Kościerzyna";"220604"
"KOMITET WYBORCZY WYBORCÓW MAJKUT STORY";"KWW MAJKUT STORY";"Grochowa 17, 57-256 Bardo";"DWB-7503-172/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Iwona Dorota Majkut";"Iwona Dorota Majkut";"gm. Bardo";"022401"
"KOMITET WYBORCZY WYBORCÓW MAJSCOWA 1";"KWW MAJSCOWA 1";"Majscowa 14, 38-220 Dębowiec";"DKO-7503-97/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Janusz Cieśla";"Janusz Cieśla";"gm. Dębowiec";"180503"
"KOMITET WYBORCZY WYBORCÓW MAKARÓWKA PLUS";"KWW MAKARÓWKA PLUS";"Makarówka 86, 08-206 Huszlew";"DSD.7503-253/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Adam Gasiuk";"Adam Gasiuk";"gm. Huszlew";"141001"
"KOMITET WYBORCZY WYBORCÓW MAKÓW PRZYJAZNY MIESZKAŃCOM";"KWW MPM";"ul. Wolności 45, 34-220 Maków Podhalański";"DNS-7503-221/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Anna Zofia Stec";"Anna Zofia Stec";"gm. Maków Podhalański";"121506"
"KOMITET WYBORCZY WYBORCÓW MAKSYMIUK JANUSZ ""RAZEM DLA GMINY""";"KWW MAKSYMIUK JANUSZ ""RAZEM DLA GMINY""";"Janaszów 6, 42-270 Janaszów";"DCZ-7503-268/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Cecylia Maria Maksymiuk";"Cecylia Maria Maksymiuk";"gm. Kłomnice";"240405"
"KOMITET WYBORCZY WYBORCÓW MAKUCH PIOTR";"KWW MAKUCH PIOTR";"Radoszyce 25/1, 59-305 Rudna";"DLG-7503-198/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Stanisława Maria Sołtys";"Stanisława Maria Sołtys";"gm. Rudna";"021103"
"KOMITET WYBORCZY WYBORCÓW MALINA";"KWW MALINA";"ul.Młyńska 1/66, 59-540 Świerzawa";"DLG-7503-133/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Magdalena Sylwia Krzyważnia";"Magdalena Sylwia Krzyważnia";"gm. Świerzawa";"022604"
"KOMITET WYBORCZY WYBORCÓW MAŁA EUROPA";"KWW MAŁA EUROPA";"Czyżówka 28, 26-806 Stara Błotnica";"DRD-7503/207/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Marcin Stanios";"Marcin Stanios";"gm. Stara Błotnica";"140104"
"KOMITET WYBORCZY WYBORCÓW MAŁA GMINNA OJCZYZNA";"KWW MAŁA GMINNA OJCZYZNA";"ul. Wodzisławska 53, 44-352, Czyżowice";"DBB-7503-56/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Urszula Maria Pochopień";"Leokadia Maria Pawelec";"woj. śląskie";""
"KOMITET WYBORCZY WYBORCÓW ""MAŁA OJCZYZNA""";"KWW ""MAŁA OJCZYZNA""";"Pęchratka Mała 23, 07-305 Andrzejewo";"DOS-7503-209/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Anna Knajp";"Anna Knajp";"gm. Andrzejewo";"141602"
